name,brand,price,sku,image_url,description,category,sub_category
Funko POP! Animation: Dragon Ball Super Gohan Metallic  3.75-in Vinyl Figure GameStop Exclusive,Funko,11.99,209297,https://media.gamestop.com/i/gamestop/11098612/Funko-POP-Animation-Dragon-Ball-Super-Gohan-Metallic--3.75-in-Vinyl-Figure-GameStop-Exclusive?$pdp2x$,"Goku’s eldest son, Gohan, joins his father in the fight to defend Earth from destruction. Build the Dragon Team in your Dragon Ball Super collection with this GameStop exclusive Metallic Pop! Gohan.Vinyl figure is approximately 3.75-inches tall.",Funko,POP!
Horse Mane Word Art  Small Tote Bag,LA Pop Art,12.99,278612,https://media.gamestop.com/i/gamestop/11143305/Horse-Mane-Word-Art--Small-Tote-Bag?$pdp2x$,"  Page Title   Created out of the word Horse The relationship between humans and horses has always been interesting, from sport to recreational to police work, agriculture, entertainment, and even therapy. No matter what your horses are used for, the one thing that is always clear is the connection between a horse and its owner. The love they have for each other is always very clear. let's face it, it's hard for anyone to not love horses. They are a strong and caring animal and are absolutely beautiful.   ",Bags,Travel Totes
Melissa and Doug Chomp and Clack Alligator Push Toy,Melissa & Doug,41.64,322482,https://media.gamestop.com/i/gamestop/11177278/Melissa-and-Doug-Chomp-and-Clack-Alligator-Push-Toy?$pdp2x$,"Three alligators will charm toddlers as they take turns chomping with every step! This multisensory wooden push toy encourages walking and discovery. Graphic details feature cattails on the handle supports, fish on the wheels and spinning butterfly and ladybug beads. This cheerful toy encourages gross and fine motor skills, while developing hand-eye coordination. Brightly painted with child-safe paint.",Toys & Games,Scooters & Ride On Toys
Highland Mint MLB Philadelphia Phillies Bryce Harper Impact Jersey Framed Photo,Highland Mint,49.99,263658,https://media.gamestop.com/i/gamestop/11136343/Highland-Mint-MLB-Philadelphia-Phillies-Bryce-Harper-Impact-Jersey-Framed-Photo?$pdp2x$,"This unique collectible frame features an action photo of your favorite MLB star super imposed on his respective jersey number. The printed art is delivered in a 13"" x 13"" wood frame under glass and ready to hang. Officially Licensed by the MLB and MLBPA. Proudly made in the USA by The Highland Mint!",Home,Wall Art
Funko POP! Deluxe: Marvel Street Art Collection Spider-Man  Statue GameStop Exclusive,Funko,11.99,219248,https://media.gamestop.com/i/gamestop/11104106/Funko-POP-Deluxe-Marvel-Street-Art-Collection-Spider-Man--Statue-GameStop-Exclusive?$pdp2x$,"NYC Represent! Some of Marvel’s biggest heroes call the Big Apple home, so Funko and GameStop have teamed up for the Marvel Street Art Pop! collection. These truly unique collectibles feature stylized graffiti and a separate brick wall backdrop that celebrate each hero’s neighborhood. Plus, each Pop! figure is hand-dipped, ensuring that yours has a super street style all its own! Peter Parker is your friendly neighborhood Spider-Man, and the neighborhood he calls home is Queens!",Funko,POP!
Marvel Black Panther Tie Dye Mask Mens T-Shirt,Fifth Sun,19.99,286008,https://media.gamestop.com/i/gamestop/11141825/Marvel-Black-Panther-Tie-Dye-Mask-Mens-T-Shirt?$pdp2x$,"Lose yourself in the pages of a comic book or the movie adventure of a lifetime with your favorite Marvel superheroes! Whether you want to swing through the city with Spider-Man, smash some walls with the Hulk, or sail through the air with Iron Man, you'll need to be wearing the best Marvel designs to do it! It's time to get marvel-ous in awesome Marvel apparel!",Men's,T-Shirts
Crayola Color Wonder Paw Patrol Coloring Kit Mess Free Over 60 Pieces,Crayola,17.59,321380,https://media.gamestop.com/i/gamestop/11172882/Crayola-Color-Wonder-Paw-Patrol-Coloring-Kit-Mess-Free-Over-60-Pieces?$pdp2x$,"This Paw Patrol coloring bundle. This coloring gift set is a unique alternative to Paw Patrol toys, with mess free paints and markers that parents will love. Color Wonder Markers and Paints only work on the specially formulated Color Wonder paper, so the colors stay where you want them. They won't stain hands, skin, or furniture.",Toys & Games,Arts & Crafts
Star Wars The Mandalorian The Child in Black and White Mens T-Shirt,Fifth Sun,19.99,294021,https://media.gamestop.com/i/gamestop/11145646/Star-Wars-The-Mandalorian-The-Child-in-Black-and-White-Mens-T-Shirt?$pdp2x$,"Take the reins as a Mandalorian Bounty Hunter exploring the galaxy in this awesome Star Wars tee that celebrates the Star Wars-inspired television series, The Mandalorian with favorites like Grogu, Mando, Greef Karga and more.",Men's,T-Shirts
McFarlane Toys Mortal Kombat 11 Bloody Feud Hunter Spawn 7-in Action Figure,McFarlane Toys,19.99,213739,https://media.gamestop.com/i/gamestop/11100946/McFarlane-Toys-Mortal-Kombat-11-Bloody-Feud-Hunter-Spawn-7-in-Action-Figure?$pdp2x$,"
""A Government agent, Al Simmons was killed by his own men. Resurrected from the depths of hell, he returns to Earth as the warrior Spawn, guarding the forgotten alleys of New York City. As he seeks answers about his past, Spawn grapples with the dark forces that returned him to Earth, battling enemies and discovering unlikely allies. As he learns to harness his extraordinary powers, he begins to grasp the full extent of what brought him back – and what he left behind. Spawn now finds himself thrust into the Mortal Kombat universe by mysterious circumstances that have yet to unfold. One thing is clear. Fight.""
",Collectibles,Figures
Skinit The Nightmare Before Christmas Jack Skellington Console Skin for PlayStation 5 Digital Edition,Skinit,24.99,247015,https://media.gamestop.com/i/gamestop/11120011/Skinit-The-Nightmare-Before-Christmas-Jack-Skellington-Console-Skin-for-PlayStation-5-Digital-Edition?$pdp2x$,"The The Nightmare Before Christmas PS5 Digital Edition Console Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight PS5 Digital Edition Console decal protection without the bulk. Every Skinit The Nightmare Before Christmas skin is officially licensed by Disney for an authentic brand design. The The Nightmare Before Christmas Jack Skellington Sony PS5 Digital Edition Console decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your PS5 Digital Edition Console The The Nightmare Before Christmas Jack Skellington skin can be easily applied and removed from your PS5 Digital Edition Console with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your PS5 Digital Edition Console style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday PS5 Digital Edition Console uses in mind so that each The Nightmare Before Christmas skin offers a premium feel with a thin functional protection. Shop all officially licensed The Nightmare Before Christmas Sony PS5 Digital Edition Console skins made by Skinit and make it yours today!",Skins,PlayStation 5
